,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps,dcor_zhat,dcor_zhat_mul
51,dlvm,1000,3,100,0.3,0,3,10,0.1,glm,682,True,False,0.8523090358992594,1.4257717106440246,1.347616639911461,2.068078824030152,2.6400791108891237,2.3616480148699828,0.7072326826297741,0.6682250822325301
52,dlvm,1000,3,5,0.1,0,3,400,0.1,glm,301,True,False,3.3311414577105833,3.093688669215517,3.070852394409762,3.0039322761103815,2.8159879869531643,2.9090178727946925,0.705710197347912,0.5199598515653393
53,dlvm,1000,3,100,0.1,0,3,400,0.1,glm,1163,True,False,1.1295577138373922,1.5443838670121464,0.675886282667455,1.3671400060704162,1.8621947176442064,0.8144536710705169,0.9009402085114725,0.8620334942714352
54,dlvm,1000,3,5,0.3,0,3,400,0.1,glm,300,True,False,3.144838099329244,2.9930314763819137,2.969018205671592,2.9728813183456526,2.791353023836947,2.8772887504350617,0.728336969709314,0.5557377495157779
55,dlvm,1000,3,100,0.3,0,3,400,0.1,glm,959,True,False,1.0322409347530022,1.4505280301902914,0.7275725032849181,1.2661799314136646,1.7822670485738155,0.8177008950255157,0.8999805002177672,0.8617951690251902
56,dlvm,1000,3,5,0.1,0,3,10,1,glm,194,True,False,3.9220845735509755,2.9902518674792677,2.9192248485143093,3.377298669757922,2.7006786638806903,2.7410255153543788,0.6944739114050287,0.5114386311119768
57,dlvm,1000,3,100,0.1,0,3,10,1,glm,766,True,False,1.3340469712107577,0.6629376185342841,0.6304395493829407,1.7882511469593418,0.8407252993406451,0.7468316113649033,0.866446706056249,0.8063237358394605
58,dlvm,1000,3,5,0.3,0,3,10,1,glm,194,True,False,3.8145832215880255,3.0561153987419867,2.9832182563740037,3.341939923090331,2.6914828712241627,2.737669395741717,0.6935095257876133,0.5112841629687648
59,dlvm,1000,3,100,0.3,0,3,10,1,glm,666,True,False,1.217898497138304,0.5141454457307906,0.36922191908624213,1.888213161420564,0.8564646208467539,0.5876230710933087,0.8258569538428648,0.758519044203822
60,dlvm,1000,3,5,0.1,0,3,400,1,glm,314,True,False,2.9422817849780847,2.182193644007506,2.461764641438243,3.8011735979631958,2.462290154681707,2.667004358953509,0.7149607223703235,0.5834547951618102
61,dlvm,1000,3,100,0.1,0,3,400,1,glm,1155,True,False,1.3511203902861404,1.9407573935858182,0.9239079601788103,2.2372194458615997,2.1284989390160134,1.0452520562066008,0.8635548832221605,0.8479968214315644
62,dlvm,1000,3,5,0.3,0,3,400,1,glm,299,True,False,3.201885619853527,2.238754513904726,2.48937657750957,4.187783296742157,2.4708810669224057,2.660285655369581,0.7117264952380814,0.5782760532465772
