,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps,dcor_zhat,dcor_zhat_mul
86,lrmf,1000,3,5,0.3,0,3,10,1,glm,166,False,True,1.031614680735194,1.0235801832871023,1.023788530142947,1.0814646612000474,1.075264216742445,1.075391475705799,0.6653629836901619,0.4650078659397143
87,lrmf,1000,3,100,0.3,0,3,10,1,glm,495,False,True,0.9857708765871944,0.9968076986091986,0.9919658034174339,0.9870425823273843,0.9976455963997606,0.9927219480502045,0.9881777370997712,0.9815868222491253
88,lrmf,1000,3,5,0,0,3,10,1,glm,146,False,True,0.9885430570270062,0.9806618537531931,0.9797620833982928,1.0788486980187733,1.071921361722985,1.0717399892265203,0.6886786871167913,0.47277363602705
89,lrmf,1000,3,100,0,0,3,10,1,glm,503,False,True,0.9953479268190183,0.9990740813200076,0.9944178074263244,0.9968535642549169,1.0004072238033535,0.9959695285661102,0.9896862258458833,0.9831488446725054
90,lrmf,1000,3,5,0.1,0,3,400,1,glm,239,False,True,0.8977258555040988,0.8942247539890242,0.8926498496947227,0.90992774199943,0.9047428321455451,0.9039648603750439,0.8126358039114087,0.714708980060283
91,lrmf,1000,3,100,0.1,0,3,400,1,glm,752,False,True,0.9915294186686365,1.0029746105876083,0.9978292900756693,0.9931606740916439,1.0034969683359731,0.9983106741402359,0.9865702569604289,0.9823829805410904
92,lrmf,1000,3,5,0.3,0,3,400,1,glm,256,False,True,0.8838881197442133,0.8899724505254092,0.8887404656789519,0.9073748943068906,0.9060425985007297,0.9056598020064668,0.8138353146602163,0.7234484482303789
93,lrmf,1000,3,100,0.3,0,3,400,1,glm,938,False,True,0.9950262919897187,1.0090846681973318,0.9996316462346282,0.9979028540936136,1.0097591055114978,1.0007145757845861,0.9867218768049477,0.9818462357332086
94,lrmf,1000,3,5,0,0,3,400,1,glm,242,False,True,0.8993283192290011,0.8950805998214522,0.8932394998427673,0.9184604798748103,0.9133346545245025,0.913087589068875,0.8153686198282425,0.7104243417097702
95,lrmf,1000,3,100,0,0,3,400,1,glm,740,False,True,0.9911726164390025,0.9948915782857628,0.9914579565685488,0.9910768857175498,0.9955000602375332,0.9921161388093307,0.9886711182990979,0.9843262025326525
96,lrmf,1000,3,5,0.1,0,3,10,10,glm,154,False,True,0.8327762986803439,0.8295946920144526,0.8294254921340775,0.9518807049197904,0.9477506250589042,0.9474131090531455,0.7992499366744317,0.6084912256955936
97,lrmf,1000,3,100,0.1,0,3,10,10,glm,511,False,True,0.9974140417634008,1.0015872960544396,0.9967249912350329,0.99834237655224,1.0028095369353436,0.9979740559893494,0.9870544143190604,0.9802764930951278
98,lrmf,1000,3,5,0.3,0,3,10,10,glm,158,False,True,0.8669251294364405,0.8628375278445862,0.8628465976759342,0.96233440380318,0.9562443088504736,0.9561308288092127,0.7871074487276434,0.6051235211601054
99,lrmf,1000,3,100,0.3,0,3,10,10,glm,522,False,True,0.9869684479879974,0.9948098378849561,0.9929926405145845,0.9934714234049126,0.9958431102826225,0.9936965262321311,0.9843150463099012,0.9786506164877106
100,lrmf,1000,3,5,0,0,3,10,10,glm,158,False,True,0.8285578278193197,0.8256505239650852,0.8256348818074475,0.9465753765003296,0.9416557283805076,0.9411534683146954,0.8064417073034387,0.6207181330174457
101,lrmf,1000,3,100,0,0,3,10,10,glm,528,False,True,1.0081188994084325,1.0014343508502193,0.9950122147241187,1.008402251480487,1.0033108022729293,0.9973500544596513,0.9758243787190882,0.9697603269935907
102,lrmf,1000,3,5,0.1,0,3,400,10,glm,267,False,True,0.873881302447581,0.8807860392645808,0.8801593336929081,0.8980172762921228,0.8973138196895977,0.8969161822578997,0.8206300625520021,0.7417012681074704
103,lrmf,1000,3,100,0.1,0,3,400,10,glm,955,False,True,0.9942206418136402,0.9992122373969969,0.9968910835824625,1.0009722767319542,1.000533112124313,0.9982517217973301,0.9828322544094984,0.9797371185545509
104,lrmf,1000,3,5,0.3,0,3,400,10,glm,325,False,True,0.8664476534660619,0.8585443040568161,0.8574252803031076,0.8750945360924217,0.8679369459884275,0.867639257623086,0.8093606327999605,0.7358159438316837
105,lrmf,1000,3,100,0.3,0,3,400,10,glm,1133,False,True,0.977164343725861,0.9930399657567472,0.9888165783605454,0.9880752616566383,0.9943869302218067,0.9900248810420714,0.983456897181284,0.980299593301242
